timestamp[s] pos_x[m] pos_y[m] pos_z[m] rot_x rot_y rot_z rot_w quality
454.663 0.999821 -1.74807 -14.3893 -0.0388578 -0.00194835 0.997735 0.0548651 1
454.763 0.995056 -1.72824 -14.3874 -0.0382675 0.00397826 0.997755 0.0548178 1
454.863 0.986275 -1.70804 -14.3872 -0.0342143 0.0099671 0.997864 0.0547542 1
454.963 0.974435 -1.68813 -14.3869 -0.0299078 0.00901034 0.998072 0.0536421 1
455.063 0.961465 -1.66751 -14.3893 -0.0268101 0.00547628 0.998206 0.0532457 1
455.163 0.950743 -1.6467 -14.392 -0.0240365 0.0040328 0.998256 0.0537598 1
455.268 0.937832 -1.62313 -14.3907 -0.0241042 0.00700193 0.998224 0.0540315 1
455.368 0.922042 -1.5993 -14.3927 -0.0238671 0.00939931 0.998201 0.054194 1
455.468 0.908233 -1.57187 -14.3902 -0.0227827 0.00800989 0.998243 0.0541011 1
455.568 0.891678 -1.54619 -14.3902 -0.0140839 -0.000867528 0.99844 0.0540261 1
455.668 0.877757 -1.52468 -14.3926 -0.00692014 -0.00582276 0.998419 0.0554717 1
455.768 0.869368 -1.50316 -14.3998 -0.00192696 -4.32431e-05 0.998385 0.0567837 1
455.868 0.863901 -1.48493 -14.4008 -0.00391301 0.00336624 0.998469 0.0550679 1
455.968 0.861866 -1.4619 -14.3968 -0.0107578 0.00276434 0.998459 0.0543753 1
456.068 0.863285 -1.44228 -14.3895 -0.0160722 -0.00203233 0.99832 0.0556238 1
456.168 0.866079 -1.42368 -14.3843 -0.0195391 -0.00318552 0.99815 0.057484 1
456.268 0.867305 -1.40647 -14.3778 -0.0213027 0.00155708 0.998007 0.0593811 1
456.368 0.869958 -1.38819 -14.3766 -0.0209382 0.00801284 0.997949 0.0599549 1
456.468 0.873069 -1.3696 -14.3772 -0.0202688 0.0109226 0.997926 0.0601207 1
456.568 0.873484 -1.34903 -14.3732 -0.0194817 0.011201 0.997948 0.0599628 1
456.668 0.871255 -1.3266 -14.3736 -0.0182149 0.0102881 0.997925 0.0608967 1
456.768 0.87071 -1.30215 -14.3724 -0.0183658 0.00969669 0.997873 0.0617888 1
456.868 0.873089 -1.28002 -14.3696 -0.0160303 0.00859985 0.997953 0.0613038 1
456.968 0.875593 -1.256 -14.3687 -0.0156056 0.00897675 0.997991 0.0607522 1
457.068 0.877448 -1.2296 -14.3681 -0.0154707 0.0100075 0.998033 0.0599208 1
457.168 0.878241 -1.20221 -14.3633 -0.0152893 0.00928997 0.99809 0.0591226 1
457.268 0.879663 -1.17673 -14.3636 -0.015581 0.00593872 0.998152 0.0584382 1
457.368 0.881289 -1.15141 -14.3663 -0.0167254 0.00341059 0.998141 0.0585075 1
457.468 0.883335 -1.12464 -14.3679 -0.0186113 0.00293407 0.998148 0.0578416 1
457.568 0.887129 -1.09535 -14.3704 -0.0194056 0.00475902 0.998122 0.0579088 1
457.668 0.892229 -1.06576 -14.3727 -0.0195388 0.00658096 0.998132 0.0575138 1
457.768 0.899346 -1.03825 -14.3746 -0.0210272 0.00615499 0.998117 0.0572858 1
457.868 0.905208 -1.00874 -14.3755 -0.0207839 0.00548947 0.998141 0.057031 1
457.968 0.909212 -0.978578 -14.3771 -0.0182853 0.00552414 0.998187 0.0570861 1
